"Filename","SizeBytes","RelativePath","LastWriteTimeUtc","SHA256","Role","ArtifactId","WorkflowRun"
"dukascopy-trading-breaks-widget-2020-02-17-authoritative.zip","810965","raw-zips/dukascopy-trading-breaks-widget-2020-02-17-authoritative.zip","2026-09-14T16:58:11.9836811Z","f49fb3aa5b66c22127eda3ac4593a387f6f83d3ab1d1d31eb742d44c49fb6a91","AUTHORITATIVE_CALIBRATION","10356927580","34866241511"
"dukascopy-trading-breaks-widget-2020-02-17-headed-browser.zip","709841","raw-zips/dukascopy-trading-breaks-widget-2020-02-17-headed-browser.zip","2026-09-14T16:58:19.3927042Z","aaf5341f3d7e10b60cc24622d6f16c2ffa3e3f31d6b108f69f53c6f3a2d48849","TECHNICAL_TRACE_NON_AUTHORITATIVE","10356971957","34865846126"
"dukascopy-trading-breaks-widget-pilot-2021-09-06-authoritative.zip","797338","raw-zips/dukascopy-trading-breaks-widget-pilot-2021-09-06-authoritative.zip","2026-09-14T16:58:29.5788954Z","8d8b568e17fd0e8d5d8c448742290313f78614ccd95c915aef5b978ed7f90ddc","AUTHORITATIVE_PILOT_PASS_A","10357256669","34866699952"
